C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_29_824.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_29_824.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_29_824.jpg,0,0,0,7.80E-05
C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_29_934.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_29_934.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_29_934.jpg,0,0,0,7.82E-05
C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_30_039.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_30_039.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_30_039.jpg,0,0,0,7.85E-05
C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_30_142.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_30_142.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_30_142.jpg,0,0,0,7.91E-05
C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_30_243.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_30_243.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_30_243.jpg,0,0,0,7.82E-05
C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_30_346.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_30_346.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_30_346.jpg,0,0,0,7.90E-05
C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_30_454.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_30_454.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_30_454.jpg,0,0,0,8.00E-05
C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_30_561.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_30_561.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_30_561.jpg,0,0,0,7.75E-05
C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_30_669.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_30_669.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_30_669.jpg,0,0,0,7.85E-05
C:\Users\Hemanth\Desktop\data\IMG\center_2021_01_09_10_34_30_771.jpg, C:\Users\Hemanth\Desktop\data\IMG\left_2021_01_09_10_34_30_771.jpg, C:\Users\Hemanth\Desktop\data\IMG\right_2021_01_09_10_34_30_771.jpg,0,0,0,7.82E-05
